Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
0,2020-06-21 12:14:25,2291163933867244,fraud_Kirlin and Sons,personal_care,2.86,Jeff,Elliott,M,351 Darlene Green,Columbia,SC,29209,33.9659,-80.9355,333497,Mechanical engineer,1968-03-19,2da90c7d74bd46a0caf3777415b3ebd3,1371816865,33.986391,-81.200714,0
1685,2020-06-21 22:06:39,3560725013359375,fraud_Hamill-D'Amore,health_fitness,24.84,Brooke,Smith,F,63542 Luna Brook Apt. 012,Notrees,TX,79759,31.8599,-102.7413,23,Cytogeneticist,1969-09-15,16bf2e46c54369a8eab2214649506425,1371852399,32.575873,-102.60429,1
306221,2020-10-15 00:42:27,3501942333500073,"fraud_Rohan, White and Aufderhar",misc_net,850.16,Lori,Bishop,F,08056 Alvarado Club Suite 699,Phoenix,AZ,85086,33.8155,-112.1202,1312922,Counselling psychologist,1999-11-30,5e927b23b196ae5d0b1fdcffb28fffcb,1381797747,33.699068,-113.080882,1
543605,2020-12-29 02:16:15,4600155880464,"fraud_Greenholt, Jacobi and Gleason",gas_transport,63.52,Charles,Copeland,M,92213 Lee Well,West Palm Beach,FL,33404,26.7832,-80.0638,459921,"Administrator, arts",1969-09-08,c24b38f607696bbcda5ab29b6c1b3534,1388283375,26.170221,-79.84907700000001,0
340819,2020-10-30 14:55:15,4682744518117239,fraud_Little Ltd,kids_pets,18.53,Gregory,Webster,M,66035 Benjamin Villages,Syracuse,MO,65354,38.6547,-92.8929,628,"Radiographer, diagnostic",1961-12-18,48e344a6a974d5d35c2dc335f615ea06,1383144915,39.406105,-93.399322,0
507844,2020-12-21 12:18:43,4681699462969,fraud_Jakubowski Group,food_dining,13.29,Joseph,Gonzalez,M,319 Wendy Fort Suite 179,Murfreesboro,TN,37132,35.8596,-86.421,158701,"Journalist, newspaper",1978-03-06,03497088757e14fef9f7359552c3f128,1387628323,35.461169,-85.841546,0
159180,2020-08-16 11:32:05,342952484382519,"fraud_Kovacek, Dibbert and Ondricka",grocery_pos,96.2,Kayla,Jones,F,6033 Young Track Suite 804,East Canaan,CT,6024,42.0158,-73.2913,647,Comptroller,1987-09-26,71767ec2d98337dfba689d718b827f9b,1376652725,42.234821,-73.998754,0
470231,2020-12-13 12:13:18,213175487106448,fraud_Larkin Ltd,kids_pets,62.21,Diane,Jackson,F,682 Mills Way Apt. 814,Rule,TX,79548,33.0771,-99.959,932,"Physicist, medical",1954-12-10,d8f41fd914b87510e47c61e0d3dd18d7,1386936798,32.926316,-100.047953,0
500868,2020-12-20 05:44:53,630484879808,"fraud_Yost, Block and Koepp",misc_pos,31.72,Ian,Patton,M,8088 Sherman Radial Suite 689,Helm,CA,93627,36.4992,-120.0936,123,Early years teacher,1973-02-07,d2b691aec3dd650417d22c7ee5f92844,1387518293,35.76315,-119.198712,0
80730,2020-07-19 16:44:28,3543591270174051,fraud_Douglas-White,entertainment,24.87,Margaret,Lam,F,6911 Nicholas Keys Apt. 237,Armagh,PA,15920,40.4603,-79.0097,922,Early years teacher,1972-10-04,ac7b029219be6eab59a8e144d5149c1e,1374252268,41.348065000000005,-79.096131,0
